bankId,product,customer,ratePercent,minDays,maxDays,tenureLabel,minAmount,maxAmount,amountLabel,scheme,sourceUrl,effectiveDate
sbi,FD,GENERAL,3.05,7,45,7–45 days,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/state-bank-of-india-fd-rates/,2026-08-15
sbi,FD,SENIOR,3.55,7,45,7–45 days,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/state-bank-of-india-fd-rates/,2026-08-15
sbi,FD,SUPER_SENIOR,3.65,7,45,7–45 days,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/state-bank-of-india-fd-rates/,2026-08-15
sbi,FD,GENERAL,5,46,90,46–90 days,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/state-bank-of-india-fd-rates/,2026-08-15
sbi,FD,SENIOR,5.5,46,90,46–90 days,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/state-bank-of-india-fd-rates/,2026-08-15
sbi,FD,SUPER_SENIOR,5.6,46,90,46–90 days,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/state-bank-of-india-fd-rates/,2026-08-15
sbi,FD,GENERAL,5.75,91,180,91–180 days,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/state-bank-of-india-fd-rates/,2026-08-15
sbi,FD,SENIOR,6.25,91,180,91–180 days,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/state-bank-of-india-fd-rates/,2026-08-15
sbi,FD,SUPER_SENIOR,6.35,91,180,91–180 days,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/state-bank-of-india-fd-rates/,2026-08-15
sbi,FD,GENERAL,6.25,181,364,181 days to < 1 year,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/state-bank-of-india-fd-rates/,2026-08-15
sbi,FD,SENIOR,6.75,181,364,181 days to < 1 year,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/state-bank-of-india-fd-rates/,2026-08-15
sbi,FD,SUPER_SENIOR,6.85,181,364,181 days to < 1 year,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/state-bank-of-india-fd-rates/,2026-08-15
sbi,FD,GENERAL,6.25,365,729,1 year to < 2 years,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/state-bank-of-india-fd-rates/,2026-08-15
sbi,FD,SENIOR,6.75,365,729,1 year to < 2 years,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/state-bank-of-india-fd-rates/,2026-08-15
sbi,FD,SUPER_SENIOR,6.85,365,729,1 year to < 2 years,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/state-bank-of-india-fd-rates/,2026-08-15
sbi,FD,GENERAL,6.6,730,1094,2 years to < 3 years,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/state-bank-of-india-fd-rates/,2026-08-15
sbi,FD,SENIOR,7.1,730,1094,2 years to < 3 years,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/state-bank-of-india-fd-rates/,2026-08-15
sbi,FD,SUPER_SENIOR,7.2,730,1094,2 years to < 3 years,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/state-bank-of-india-fd-rates/,2026-08-15
sbi,FD,GENERAL,6.6,1095,1824,3 years to < 5 years,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/state-bank-of-india-fd-rates/,2026-08-15
sbi,FD,SENIOR,7.1,1095,1824,3 years to < 5 years,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/state-bank-of-india-fd-rates/,2026-08-15
sbi,FD,SUPER_SENIOR,7.2,1095,1824,3 years to < 5 years,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/state-bank-of-india-fd-rates/,2026-08-15
sbi,FD,GENERAL,6.45,1825,3650,5 years to 10 years,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/state-bank-of-india-fd-rates/,2026-08-15
sbi,FD,SENIOR,6.95,1825,3650,5 years to 10 years,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/state-bank-of-india-fd-rates/,2026-08-15
